Chisholm,AJP,1.16
Chisholm,CEC,0.4
Chisholm,LDP,1.68
Chisholm,Grn,12.57
Chisholm,UAP,2.38
Chisholm,Ind,1.65
Chisholm,Ind,0.78
Chisholm,ALP,40.09
Cooper,AJP,2.35
Cooper,VNS,3.47
Cooper,Grn,27.36
Cooper,SOPA,1.69
Cooper,Lib,16.35
Cooper,UAP,4.45
Cooper,One,2.99
Cooper,ALP,41.34
Corangamite,CYA,0.86
Corangamite,Grn,15.2
Corangamite,ALP,38.2
Corangamite,AJP,1.97
Corangamite,Lib,34.13
Corangamite,LDP,2.5
Corangamite,One,2.52
Corangamite,UAP,3.2
Corangamite,DHJP,1.41
Corio,SAL,2.52
Corio,CYA,1.11
Corio,Lib,24.57
Corio,Grn,14.91
Corio,One,3.91
Corio,AJP,2.42
Corio,LDP,3.49
Corio,UAP,4.93
Corio,ALP,42.13
Deakin,ALP,32.76
Deakin,Grn,13.87
Deakin,Ind,1.27
Deakin,AJP,1.65
Deakin,LDP,1.84
Deakin,Lib,41.51
Deakin,DHJP,1.08
Deakin,UAP,2.83
Deakin,CYA,0.91
Deakin,One,2.3
Dunkley,Ind,3.86
Dunkley,ALP,40.23
Dunkley,LDP,2.51
Dunkley,AJP,2.1
Dunkley,Grn,10.34
Dunkley,Lib,32.5
Dunkley,One,2.81
Dunkley,CYA,0.59
Dunkley,UAP,5.06
FlInders,UAP,4.52
FlInders,One,3.41
FlInders,LDP,2.39
FlInders,Lib,43.49
FlInders,CYA,0.49
FlInders,Grn,9.4
FlInders,Ind,5.25
FlInders,ALP,21.73
FlInders,Ind,7.24
FlInders,AJP,2.08
Fraser,Lib,24.68
Fraser,ALP,42.05
Fraser,LDP,2.55
Fraser,Grn,18.54
Fraser,UAP,4.44
Fraser,One,2.93
Fraser,VNS,4.81
Gellibrand,Grn,16.53
Gellibrand,Lib,26.97
Gellibrand,CYA,1.23
Gellibrand,VNS,1.63
Gellibrand,UAP,5.51
Gellibrand,LDP,2.37
Gellibrand,One,3.04
Gellibrand,ALP,42.72
Gippsland,One,9.36
Gippsland,Nat,54.14
Gippsland,UAP,4.55
Gippsland,Grn,8.47
Gippsland,LDP,4.25
Gippsland,ALP,19.23
Goldstein,Grn,7.83
Goldstein,DHJP,0.6
Goldstein,SPP,0.45
Goldstein,LDP,2.11
Goldstein,Ind,34.47
Goldstein,One,1.26
Goldstein,UAP,1.88
Goldstein,Lib,40.38
Goldstein,ALP,11.01
Gorton,One,7.27
Gorton,Grn,9.01
Gorton,UAP,7.66
Gorton,VNS,2.23
Gorton,ALP,41.3
Gorton,Ind,2.53
Gorton,GAP,1.42
Gorton,CYA,1.15
Gorton,Lib,27.42
Hawke,CYA,2.21
Hawke,GAP,2.1
Hawke,ALP,36.73
Hawke,Ind,7.92
Hawke,TNL,1.64
Hawke,Lib,26.34
Hawke,Grn,8.93
Hawke,One,5.59
Hawke,CEC,0.5
Hawke,VNS,1.02
Hawke,UAP,7.03
Higgins,LDP,2.77
Higgins,UAP,2.01
Higgins,AJP,1.36
Higgins,Lib,40.69
Higgins,REAS,1.53
Higgins,ALP,28.46
Higgins,CYA,0.54
Higgins,Grn,22.65
Holt,Ind,3.01
Holt,ALP,40.86
Holt,UAP,9.67
Holt,One,4.83
Holt,CYA,0.82
Holt,LDP,2.73
Holt,Grn,8.53
Holt,Lib,29.56
Hotham,LDP,6.58
Hotham,ALP,47.04
Hotham,Grn,12.38
Hotham,UAP,5.86
Hotham,One,2.92
Hotham,Lib,25.22
Indi,AJP,1.72
Indi,Ind,40.68
Indi,DHJP,1.06
Indi,UAP,2.52
Indi,One,5.28
Indi,Grn,3.57
Indi,Nat,3.79
Indi,ALP,8.59
Indi,LDP,2.26
Indi,Lib,30.52
Isaacs,One,3.19
Isaacs,ALP,39.95
Isaacs,LDP,4.87
Isaacs,Lib,31.89
Isaacs,Grn,12.85
Isaacs,AJP,2.3
Isaacs,UAP,4.94
Jagajaga,ALP,40.9
Jagajaga,CYA,0.75
Jagajaga,UAP,3.45
Jagajaga,Ind,3.11
Jagajaga,LDP,3.71
Jagajaga,Grn,16.65
Jagajaga,One,2.25
Jagajaga,Lib,29.17
Kooyong,Ind,40.29
Kooyong,UAP,0.99
Kooyong,LDP,1.05
Kooyong,DHJP,0.17
Kooyong,One,0.72
Kooyong,IndOTH,0.26
Kooyong,Lib,42.66
Kooyong,ALP,6.92
Kooyong,AJP,0.49
Kooyong,Grn,6.3
Kooyong,AUVA,0.15
La_Trobe,Lib,45.58
La_Trobe,One,4.97
La_Trobe,Grn,10.89
La_Trobe,UAP,6.74
La_Trobe,ALP,26.09
La_Trobe,CYA,0.97
La_Trobe,LDP,2.08
La_Trobe,AJP,2.67
Lalor,Ind,2.86
Lalor,VNS,1.67
Lalor,UAP,7.16
Lalor,ALP,44.11
Lalor,LDP,3.84
Lalor,CYA,1.07
Lalor,One,3.94
Lalor,Grn,10.38
Lalor,Lib,24.95
Macnamara,Ind,1.97
Macnamara,Lib,29
Macnamara,ALP,31.77
Macnamara,One,1.45
Macnamara,LDP,2.09
Macnamara,AJP,1.85
Macnamara,Grn,29.65
Macnamara,UAP,2.22
Mallee,Nat,49.09
Mallee,Ind,10.03
Mallee,Ind,2.15
Mallee,CEC,0.8
Mallee,ALP,16.76
Mallee,Grn,5.34
Mallee,UAP,9.07
Mallee,One,6.75
Maribyrnong,GAP,1.85
Maribyrnong,VNS,1.95
Maribyrnong,ALP,42.35
Maribyrnong,One,2.37
Maribyrnong,UAP,3.65
Maribyrnong,Lib,27.13
Maribyrnong,Grn,16.26
Maribyrnong,CYA,0.63
Maribyrnong,LDP,3.81
McEwen,Grn,14.13
McEwen,UAP,5.72
McEwen,CYA,1.8
McEwen,One,5.63
McEwen,LDP,2.69
McEwen,Lib,33.22
McEwen,ALP,36.81
Melbourne,UAP,1.77
Melbourne,ALP,25.03
Melbourne,Grn,49.62
Melbourne,Lib,15.19
Melbourne,LDP,1.65
Melbourne,Ind,1.13
Melbourne,One,0.97
Melbourne,AJP,1.36
Melbourne,VNS,3.27
Menzies,ALP,33.3
Menzies,CYA,0.96
Menzies,LDP,3.61
Menzies,One,2.29
Menzies,Lib,42.1
Menzies,Grn,14.14
Menzies,UAP,3.61
Monash,Grn,9.86
Monash,Lib,37.79
Monash,Ind,10.72
Monash,One,7.54
Monash,CYA,0.7
Monash,ALP,25.6
Monash,LDP,3.67
Monash,UAP,4.13
Nicholls,LDP,3.54
Nicholls,Nat,26.14
Nicholls,One,6.53
Nicholls,ALP,11.52
Nicholls,CEC,0.4
Nicholls,UAP,4.01
Nicholls,Grn,3.21
Nicholls,SOPA,0.69
Nicholls,Lib,18.06
Nicholls,CYA,0.39
Nicholls,Ind,25.51
Scullin,Grn,10.92
Scullin,One,6.48
Scullin,LDP,3.76
Scullin,ALP,46.25
Scullin,UAP,8.17
Scullin,Lib,21.71
Scullin,VNS,2.71
Wannon,Ind,2.32
Wannon,Lib,44.46
Wannon,One,3.24
Wannon,Grn,6.37
Wannon,Ind,19.29
Wannon,UAP,3.27
Wannon,LDP,1.95
Wannon,ALP,19.09
Wills,Lib,17.29
Wills,One,2.8
Wills,VNS,2.98
Wills,CYA,0.87
Wills,SAL,3.39
Wills,UAP,3.68
Wills,ALP,38.87
Wills,AJP,1.84
Wills,Grn,28.28
Brand,ALP,50.2
Brand,CYA,0.62
Brand,Lib,22.01
Brand,UAP,2.83
Brand,Grn,11.39
Brand,AUC,2.18
Brand,WAP,2.71
Brand,LDP,1.12
Brand,GAP,1.56
Brand,One,5.37
Burt,CYA,1.9
Burt,One,4.85
